OP,A1,A2,A3,A4,A5,A6,A7
+,2640,2941,1616,567,12982,6290,431
+,3677,5358,10138,12083,11420,11572,6035
-,2640,2941,1616,567,12982,6290,431
+,7728,10783,9610,2712,300,10255,525
+,660,9030,5937,11703,12835,3520,5846
-,660,9030,5937,11703,12835,3520,5846
+,8954,8516,7310,8538,7316,3861,137
+,10081,4402,2501,11175,7786,3746,5944
-,8954,8516,7310,8538,7316,3861,137
+,12315,3895,5238,7884,416,339,5853
+,7113,7207,8601,924,6241,10670,2282
-,10081,4402,2501,11175,7786,3746,5944
+,4094,8399,3524,11215,877,542,4586
+,12907,7758,10595,10012,12918,6422,2425
-,7728,10783,9610,2712,300,10255,525
+,9111,2940,6455,10487,1661,11718,6602
+,584,7113,5100,11190,3746,3203,11583
-,9111,2940,6455,10487,1661,11718,6602
+,2464,3657,1365,2677,4600,11517,2326
+,9413,11097,2906,8327,10002,5843,7185
-,12907,7758,10595,10012,12918,6422,2425
+,11585,2825,3264,5716,10807,7065,12408
+,8953,1702,10043,2359,2324,1739,1373
-,3677,5358,10138,12083,11420,11572,6035
+,4845,9843,7708,5385,2905,10697,11473
+,3993,2568,7996,11414,5457,6495,1810
-,9413,11097,2906,8327,10002,5843,7185
+,322,3992,11758,4898,5194,1428,835
+,4265,2221,1958,5401,4397,11214,350
-,4265,2221,1958,5401,4397,11214,350
+,2990,12868,1031,6654,6329,578,4001
+,12020,8494,4852,3405,6301,6641,6804
-,2464,3657,1365,2677,4600,11517,2326
+,413,4743,9152,10555,10519,6785,9312
+,12396,1726,1324,5407,28,7009,7967
-,584,7113,5100,11190,3746,3203,11583
+,7103,2587,7266,6757,2558,9641,11239
+,7276,3361,5627,3765,6949,10164,6370
-,2990,12868,1031,6654,6329,578,4001
+,3519,8079,4382,2057,11594,11341,3839
+,1918,6845,2105,9450,6387,4029,842
-,7113,7207,8601,924,6241,10670,2282
+,6320,8489,4607,11073,825,5183,11648
+,4958,10273,5095,9271,5489,2322,4883
-,7276,3361,5627,3765,6949,10164,6370
+,3330,10279,3663,4165,10457,4745,11124
+,8064,3191,6184,894,5112,9012,6468
-,322,3992,11758,4898,5194,1428,835
+,3409,4131,11753,3381,8691,9353,12521
+,3963,7098,11790,357,6562,5622,3979
-,4094,8399,3524,11215,877,542,4586
+,6309,1661,4817,9373,4583,1405,4965
+,3919,2111,4000,4901,8218,5457,3302
-,3409,4131,11753,3381,8691,9353,12521
+,12793,3323,5261,12178,968,3731,1748
+,7094,1631,773,7256,2289,8177,10803
-,12396,1726,1324,5407,28,7009,7967
+,7969,587,4169,1698,2600,3957,2696
+,7563,6645,10962,3679,5533,1797,5144
-,11585,2825,3264,5716,10807,7065,12408
+,4605,7131,2828,585,6921,11660,2568
+,7690,5399,11285,12123,5931,6811,11301
-,12315,3895,5238,7884,416,339,5853
+,4595,6552,9999,5902,8017,8742,10343
+,9551,3883,9345,11829,2851,12235,12791
-,8064,3191,6184,894,5112,9012,6468
+,859,1079,8780,971,3406,1562,386
+,574,7670,9951,1304,8926,2957,3232
-,413,4743,9152,10555,10519,6785,9312
+,5879,671,12551,3784,3073,2028,11260
+,10937,7621,10936,10341,12466,5161,3625
-,4595,6552,9999,5902,8017,8742,10343
+,7225,12398,1605,3178,7511,4952,7817
+,11398,12220,12687,4539,2874,5244,11744
-,12793,3323,5261,12178,968,3731,1748
+,558,8701,6419,4693,5052,12519,1863
+,9367,10139,7539,10294,2725,11713,1240
-,12020,8494,4852,3405,6301,6641,6804
+,10789,4469,6812,5425,10475,10796,12228
+,5442,8502,5667,102,8476,1454,9144
-,4605,7131,2828,585,6921,11660,2568
+,12777,2501,1036,578,9238,12569,115
+,4967,10981,3893,2173,2812,1770,6789
-,3919,2111,4000,4901,8218,5457,3302
+,5537,11441,7119,8327,1422,12659,11800
+,5449,12209,9860,8847,8612,7241,6887
-,5449,12209,9860,8847,8612,7241,6887
+,669,10433,1336,2583,6055,11881,1888
+,1792,4486,1271,3600,7826,6618,386
-,7969,587,4169,1698,2600,3957,2696
+,9781,4622,8061,8780,2225,873,2176
+,11539,6814,6070,11440,8335,5582,5081
-,7690,5399,11285,12123,5931,6811,11301
+,90,10799,8256,5870,4054,4410,7504
+,305,3457,7183,10684,3711,11884,10512
-,1792,4486,1271,3600,7826,6618,386
+,11184,3979,7773,3826,6266,1282,12566
+,1307,8165,107,7185,8152,7689,8407
-,669,10433,1336,2583,6055,11881,1888
+,4073,602,5680,12644,11286,5800,8264
+,833,368,754,2040,10444,12466,12568
-,859,1079,8780,971,3406,1562,386
+,1662,12614,399,7838,7668,6606,10950
+,10483,2434,81,12189,7815,7932,11454
-,5879,671,12551,3784,3073,2028,11260
+,6671,10718,12393,6313,5779,6256,6147
+,2479,12254,8321,5945,371,7511,12422
-,4967,10981,3893,2173,2812,1770,6789
+,6126,52,5953,5771,4299,11660,10271
+,549,6727,9187,2310,1264,5755,12829
-,3963,7098,11790,357,6562,5622,3979
+,10377,9567,10926,12594,7137,6496,12513
+,3033,1676,8338,1335,12982,6345,2741
-,1307,8165,107,7185,8152,7689,8407
+,10901,12350,10809,4066,1554,7210,7061
+,7377,5298,6458,2866,10154,10869,9765
-,558,8701,6419,4693,5052,12519,1863
+,4383,5641,7287,2221,4688,1466,4328
+,8894,3050,12699,12548,10678,12831,1182
-,2479,12254,8321,5945,371,7511,12422
+,10528,1619,8908,12540,5132,112,7282
+,3626,1198,872,11438,1664,5310,1071
-,4958,10273,5095,9271,5489,2322,4883
+,3453,7295,6413,4467,8707,5329,8098
+,10880,5264,12570,1986,7193,2145,859
-,4845,9843,7708,5385,2905,10697,11473
+,9634,9324,11490,12307,8313,5814,8878
+,6195,3553,7303,10014,11508,2954,2479
-,10880,5264,12570,1986,7193,2145,859
+,9726,2681,3175,5337,3446,4937,6331
+,2061,11083,5555,6185,1533,4804,5177
-,7377,5298,6458,2866,10154,10869,9765
+,3704,5769,12789,1226,7597,1489,12347
+,8334,1925,3777,5167,1688,5803,4790
-,6126,52,5953,5771,4299,11660,10271
+,7093,4389,12232,2524,11841,10684,7041
+,9777,9610,6995,4295,12100,6235,12165
-,1918,6845,2105,9450,6387,4029,842
+,3654,8269,4435,5110,3568,7617,10078
+,5730,1791,956,11596,9903,1500,9344
-,10901,12350,10809,4066,1554,7210,7061
+,12415,3676,1535,1190,4446,11327,8409
+,12153,8199,382,3712,256,3971,8240
-,7093,4389,12232,2524,11841,10684,7041
+,9342,11613,11536,6968,3087,5724,2302
+,1958,2320,7832,489,6096,11180,2073
-,8334,1925,3777,5167,1688,5803,4790
+,7293,347,10335,6337,9929,4367,10708
+,7821,4322,8485,4420,1013,7415,11718
-,10483,2434,81,12189,7815,7932,11454
+,2010,5099,1149,4838,5707,6232,12318
+,5136,6354,1507,9413,6607,5505,5776
-,11539,6814,6070,11440,8335,5582,5081
+,3817,844,9553,10782,6753,11182,11339
+,1794,8804,6464,958,242,11410,4774
-,9342,11613,11536,6968,3087,5724,2302
+,7983,4376,2955,10293,3046,8915,3302
+,2923,7277,8894,6615,5691,9091,2275
-,7094,1631,773,7256,2289,8177,10803
+,4703,4756,6327,10750,8641,1844,6791
+,6209,6326,4987,10278,11618,10504,11051
-,9634,9324,11490,12307,8313,5814,8878
+,488,12678,2829,6817,7449,6093,9230
+,9428,10959,11911,11344,7617,1094,10330
-,7293,347,10335,6337,9929,4367,10708
+,6993,4840,6727,7769,6012,9745,7312
+,4235,7176,7757,4661,4732,10834,2041
-,4703,4756,6327,10750,8641,1844,6791
+,1946,9281,9719,9365,9422,6287,3086
+,9628,10547,3824,10363,1789,11341,3135
-,833,368,754,2040,10444,12466,12568
+,8579,9869,7113,1496,11983,1645,8872
+,9633,1484,7467,5316,1019,7818,6541
-,7983,4376,2955,10293,3046,8915,3302
+,5959,6038,12445,2396,5367,8363,3861
+,10729,1672,7514,5581,11794,12073,10032
-,10377,9567,10926,12594,7137,6496,12513
+,11157,12458,2178,3790,3531,2491,7540
+,2589,4990,4461,10356,3598,646,11088
-,3654,8269,4435,5110,3568,7617,10078
+,12004,6083,10519,699,9504,1016,8150
+,9694,10634,6162,11865,8457,11575,9159
-,488,12678,2829,6817,7449,6093,9230
+,8428,8434,12420,11287,7029,9852,11187
+,11201,5069,7151,11527,3945,6148,12086
-,1662,12614,399,7838,7668,6606,10950
+,9863,3008,11399,7296,3402,10970,1856
+,7933,9282,2234,4206,2665,7299,3801
-,3330,10279,3663,4165,10457,4745,11124
+,7216,10942,12406,12979,973,8693,11156
+,5717,1389,9704,7583,2453,12159,8771
-,6309,1661,4817,9373,4583,1405,4965
+,8863,2488,4844,2891,7669,12012,7864
+,4475,1628,5622,11856,7703,11063,11294
-,2923,7277,8894,6615,5691,9091,2275
+,10225,3321,8999,10126,4405,8409,10248
+,9096,2115,9272,2505,2507,12409,1092
-,7933,9282,2234,4206,2665,7299,3801
+,3782,465,4626,5087,9013,5568,4516
+,6435,11420,4219,3844,8774,2440,12118
-,90,10799,8256,5870,4054,4410,7504
+,12297,12744,6946,12211,11881,5213,4728
+,1199,11518,7078,7086,10980,2485,1414
-,9096,2115,9272,2505,2507,12409,1092
+,10502,8405,4828,10929,4183,11485,12072
+,4612,10203,931,3453,7902,6892,9842
-,1958,2320,7832,489,6096,11180,2073
+,11374,11276,4964,2745,6654,6216,6216
+,10912,5397,10878,1646,5273,11686,12047
-,10528,1619,8908,12540,5132,112,7282
+,7771,12109,10907,5132,8310,9950,3831
+,5302,12729,5570,2688,11148,12284,10910
-,6209,6326,4987,10278,11618,10504,11051
+,8803,3892,7305,4778,11121,1409,5954
+,10199,4441,8363,1740,2916,1057,10866
-,7821,4322,8485,4420,1013,7415,11718
+,4078,2014,6340,10987,2499,4556,6267
+,8129,6167,9583,9216,11732,11104,91
-,6320,8489,4607,11073,825,5183,11648
+,6058,921,7712,8727,5412,2057,6217
+,130,5433,8069,9921,396,12273,784
-,4078,2014,6340,10987,2499,4556,6267
+,2213,4777,9475,1763,5760,6259,10844
+,2141,3093,3258,4039,8350,4673,7064
-,10789,4469,6812,5425,10475,10796,12228
+,5048,80,7885,13000,12192,535,5546
+,1014,3318,3044,11405,5657,2943,1898
-,9694,10634,6162,11865,8457,11575,9159
+,12597,6732,5852,8503,8339,2763,10224
+,5663,12058,8706,5103,2443,10094,697
-,3782,465,4626,5087,9013,5568,4516
+,5664,6566,11773,8890,8342,6065,9578
+,4730,9099,2725,12394,6078,6235,116
-,3519,8079,4382,2057,11594,11341,3839
+,10848,10783,8210,5952,429,4787,6192
+,9728,7563,10935,10534,3705,4965,1239
-,10502,8405,4828,10929,4183,11485,12072
+,6408,12833,199,5432,6498,1826,2711
+,8000,6896,11355,1580,1171,6506,5297
-,2589,4990,4461,10356,3598,646,11088
+,4089,1455,11623,7011,11256,2527,10022
+,1927,2049,11918,2446,1239,6657,1626
-,5663,12058,8706,5103,2443,10094,697
+,5821,9601,10635,4513,8555,5361,1262
+,8104,1640,11921,2602,1657,11040,7044
-,3704,5769,12789,1226,7597,1489,12347
+,6877,5281,10405,5375,10247,829,5703
+,3009,6600,12819,5319,678,3900,3867
-,4383,5641,7287,2221,4688,1466,4328
+,8905,7839,5664,1397,2588,9911,1358
+,3002,4370,8526,12841,12279,8995,1136
-,5048,80,7885,13000,12192,535,5546
+,6129,9869,798,4325,6024,10389,8611
+,7542,2768,3965,6673,5282,4824,7268
-,9367,10139,7539,10294,2725,11713,1240
+,11540,1108,407,9970,5605,602,12962
+,12233,1714,1655,4023,9613,7314,1644
-,4475,1628,5622,11856,7703,11063,11294
+,6672,2977,12453,3311,8212,11617,10221
+,7277,6414,11874,10483,11224,8398,662
-,12153,8199,382,3712,256,3971,8240
+,2958,4163,4887,3892,11053,12793,9446
+,4489,12661,8722,11551,3003,2311,11323
-,9428,10959,11911,11344,7617,1094,10330
+,1217,12153,1395,12781,6960,8530,4855
+,12940,11192,6646,7239,12421,2879,8199
-,1014,3318,3044,11405,5657,2943,1898
+,11039,12940,1327,5101,5259,5431,12646
+,7613,7094,10160,12990,8700,9961,821
-,12940,11192,6646,7239,12421,2879,8199
+,12751,10744,7577,10597,6176,3269,647
+,3542,953,8453,668,4343,8156,10351
-,12751,10744,7577,10597,6176,3269,647
+,5684,3548,5304,6796,5930,9663,989
+,7160,7122,1772,7804,11807,19,9468
-,7277,6414,11874,10483,11224,8398,662
+,6844,8830,10952,8390,11824,6328,364
+,6116,12427,11345,7320,1747,4308,1236
-,9551,3883,9345,11829,2851,12235,12791
+,922,7826,4643,857,1875,156,1965
+,741,9841,1429,2113,2617,8460,10314
-,5730,1791,956,11596,9903,1500,9344
+,4873,3225,10633,5338,878,5443,7996
+,1467,3812,4161,12173,11156,5024,8235
-,1467,3812,4161,12173,11156,5024,8235
+,11920,2282,7413,12325,11241,10960,5330
+,3526,8485,8394,7505,6687,4939,12531
-,3009,6600,12819,5319,678,3900,3867
+,3095,10480,31,4373,7050,2382,1102
+,838,12799,10686,7364,9547,7694,9700
-,11039,12940,1327,5101,5259,5431,12646
+,12248,1208,3468,957,19,11775,3983
+,10211,4586,3287,8257,8870,5572,4014
-,5442,8502,5667,102,8476,1454,9144
+,3157,730,1457,630,9028,8211,4088
+,8849,1252,12427,2300,8683,3026,1101
-,2061,11083,5555,6185,1533,4804,5177
+,10593,2214,6445,401,8348,7837,11449
+,9174,7801,11224,3088,1301,1186,8931
-,5717,1389,9704,7583,2453,12159,8771
+,2096,11539,7321,12881,7496,4449,1120
+,4930,3173,9897,7753,3544,2662,3226
-,11201,5069,7151,11527,3945,6148,12086
+,5690,4301,5228,3022,5962,1069,8679
+,5484,11640,9772,4164,1698,1331,7672
-,6877,5281,10405,5375,10247,829,5703
+,8470,11579,11947,10939,5925,12312,2263
+,2863,8977,3828,3372,7353,4549,9533
-,9628,10547,3824,10363,1789,11341,3135
+,12892,7725,4053,11512,5428,10468,8531
+,4527,4956,11315,9095,10325,8688,12041
-,8863,2488,4844,2891,7669,12012,7864
+,11574,4796,12094,5573,10931,9313,6768
+,2209,1065,9909,1733,11774,12532,2049
-,2863,8977,3828,3372,7353,4549,9533
+,3598,11757,1741,4833,3180,2013,9601
+,11767,10539,4619,3289,2730,12663,283
-,549,6727,9187,2310,1264,5755,12829
+,4485,12880,4236,1084,11270,4300,5015
