OP,A1,A2,A3,A4,A5,A6,A7
+,8309,549,6426,2542,11203,1652,11209
+,10522,9404,6612,11732,1126,1945,2847
+,8644,8033,4003,719,1247,5633,8940
-,8309,549,6426,2542,11203,1652,11209
+,12876,391,894,7958,7922,918,3915
+,5794,2543,12673,4656,5725,6160,10044
+,2354,11344,6232,6651,343,8003,7748
-,10522,9404,6612,11732,1126,1945,2847
+,3151,924,11320,10200,10715,338,7321
+,11299,7659,997,12906,2852,7589,6531
+,10693,11940,11495,11944,1243,4957,11775
-,8644,8033,4003,719,1247,5633,8940
+,6285,9322,6414,10338,3556,5803,1030
+,6625,1528,11063,8124,10173,1157,4518
+,10003,5851,12077,12163,7197,1610,8919
-,2354,11344,6232,6651,343,8003,7748
+,921,10414,12150,7088,6522,3864,11074
+,40,8086,6913,8287,6743,3570,6427
+,4152,7786,12257,9634,12562,398,6995
-,6625,1528,11063,8124,10173,1157,4518
+,9876,11520,7990,8538,6834,1253,11710
+,4313,4003,2655,9593,4611,5323,6828
+,12751,5921,5213,1434,1100,8415,4122
-,12876,391,894,7958,7922,918,3915
+,7629,5388,2839,10394,9368,4545,1464
+,3384,4720,12865,9439,12300,4277,12627
+,10119,983,5934,8371,4034,3995,6932
-,9876,11520,7990,8538,6834,1253,11710
+,7940,6082,9549,2103,559,824,7031
+,6775,12311,2365,9358,9560,3782,12741
+,5003,6397,3404,10126,11214,2682,12264
-,4152,7786,12257,9634,12562,398,6995
+,3830,10829,4039,8419,2538,11938,9138
+,2620,1337,10766,5325,2188,6493,1746
+,7373,4154,862,1100,5453,4293,7065
-,7629,5388,2839,10394,9368,4545,1464
+,11312,12117,1321,7802,7176,1485,6384
+,12276,11823,12247,9690,7777,7937,10032
+,11289,1088,3849,2489,2427,5354,4074
-,6775,12311,2365,9358,9560,3782,12741
+,6368,6065,8982,5545,2226,3772,8364
+,9783,11100,4294,973,7999,8152,1354
+,1532,7722,6851,12672,9533,9882,5563
-,10119,983,5934,8371,4034,3995,6932
+,4298,271,11166,7595,4091,12282,8860
+,9918,6281,3531,5072,3641,331,9831
+,7199,6215,3867,6305,8602,3753,5097
-,921,10414,12150,7088,6522,3864,11074
+,3913,10569,7831,8740,8939,6531,7737
+,1804,7668,6525,9404,12262,3012,10776
+,10616,8309,4495,70,1419,3804,4350
-,9918,6281,3531,5072,3641,331,9831
+,1510,6003,12159,7928,5502,1894,11519
+,1131,9591,12678,4603,312,6879,957
+,239,7995,7883,810,4131,5404,6728
-,4298,271,11166,7595,4091,12282,8860
+,2295,5847,3075,9858,9770,4234,4538
+,442,12323,7586,2815,5687,7550,7775
+,376,8470,5268,3846,680,2972,1365
-,7940,6082,9549,2103,559,824,7031
+,11434,7018,1231,4352,4743,11212,5796
+,8173,9971,4981,3275,5345,4677,9617
+,9234,9353,1655,1462,8754,1333,10399
-,12276,11823,12247,9690,7777,7937,10032
+,8370,9368,9294,1058,3437,4454,10861
+,4533,8884,9551,9950,8938,2520,8650
+,4994,7492,8884,10834,11162,12056,5694
-,8173,9971,4981,3275,5345,4677,9617
+,11787,7662,630,4982,10699,6509,6228
+,7093,7772,4893,10034,9584,3478,7056
+,10457,10895,11439,1778,4342,6717,4494
-,2620,1337,10766,5325,2188,6493,1746
+,2665,12431,4980,10218,7183,3523,4078
+,4501,3697,3073,5885,4926,3267,335
+,12667,8876,4419,9238,8717,3479,8946
-,3151,924,11320,10200,10715,338,7321
+,8234,9212,7149,7513,8812,4768,5801
+,3039,9729,9039,1024,8560,10681,6586
+,10019,9282,11880,12828,2043,5829,5299
-,12751,5921,5213,1434,1100,8415,4122
+,11022,3067,9435,4431,2484,2073,11486
+,4020,1711,8620,9914,10862,8461,5742
+,4395,9843,11932,9495,7963,8071,3638
-,11434,7018,1231,4352,4743,11212,5796
+,11347,5475,2174,10575,8327,5622,4775
+,8418,11879,11743,12141,10781,9965,12243
+,5882,5728,8304,2417,10699,1478,2188
-,442,12323,7586,2815,5687,7550,7775
+,8568,907,12664,10087,6721,3144,6661
+,8969,12881,5633,10121,8620,8194,12000
+,1210,5133,6424,8909,11449,2326,9761
-,8234,9212,7149,7513,8812,4768,5801
+,11376,6626,10946,12343,8097,11646,10456
+,12487,6261,3197,10523,12029,3874,12561
+,303,4432,9812,10728,5198,7863,3690
-,239,7995,7883,810,4131,5404,6728
+,5062,1431,10602,7757,10841,9710,7405
+,9237,9732,4361,8497,2005,656,9428
+,10160,10081,7827,97,9475,12687,2712
-,5794,2543,12673,4656,5725,6160,10044
+,10517,6668,6199,1871,1250,7374,6839
+,8241,3558,2415,11577,10175,4849,3226
+,4430,11819,6674,1913,8731,9585,12007
-,10517,6668,6199,1871,1250,7374,6839
+,3888,10407,7017,3088,3389,8721,10693
+,237,9713,7054,7343,10237,10049,9393
+,3812,786,9328,10368,9277,5140,2747
-,3913,10569,7831,8740,8939,6531,7737
+,11526,7723,360,10926,5092,7235,5315
+,5830,12064,997,7300,9063,11241,6832
+,10038,6124,4859,307,2268,8944,10814
-,11022,3067,9435,4431,2484,2073,11486
+,8720,10689,7800,1616,4287,10275,109
+,8871,11831,10548,7946,7990,126,1884
+,5243,2821,7243,11764,5629,12776,7789
-,10003,5851,12077,12163,7197,1610,8919
+,6708,7766,10242,9706,10184,1325,7811
+,8793,12622,10049,9351,7633,4042,664
+,5090,7870,10110,8457,9633,6612,2309
-,3888,10407,7017,3088,3389,8721,10693
+,5513,1996,3317,11150,10569,8405,9697
+,11480,5089,7555,8384,8903,2993,2085
+,9602,5531,675,1437,7302,7050,12364
-,11299,7659,997,12906,2852,7589,6531
+,11754,4335,6667,10664,6753,2565,2893
+,1849,4377,6018,8078,6880,7241,10348
+,10805,4413,6708,4797,6151,7197,6623
-,4533,8884,9551,9950,8938,2520,8650
+,10446,776,846,325,1070,9596,3629
+,11328,6797,3914,5369,6870,2488,7614
+,9927,7041,2829,11004,6814,5377,1828
-,4994,7492,8884,10834,11162,12056,5694
+,171,3787,10746,6888,2587,12341,4795
+,1362,7234,6390,922,6145,7483,331
+,1338,3890,818,4261,2199,7249,4605
-,7373,4154,862,1100,5453,4293,7065
+,9969,8728,3525,11135,4002,2462,8313
+,3607,9909,2224,6497,5980,12839,8029
+,8139,928,6899,3299,1924,3623,2886
-,237,9713,7054,7343,10237,10049,9393
+,54,12799,10691,5493,9808,10918,11822
+,3500,4795,8376,11487,8051,4004,6197
+,9863,2189,10564,7070,10270,2425,11542
-,3830,10829,4039,8419,2538,11938,9138
+,12370,3716,3117,8482,4070,6677,4475
+,4023,98,8824,6938,1139,8684,11719
+,8512,1133,1312,9057,1877,9319,5904
-,5090,7870,10110,8457,9633,6612,2309
+,12799,12132,5674,5345,321,1789,9198
+,11783,4884,3726,2137,698,1131,7572
+,10680,7390,6589,9636,6335,10169,2380
-,5882,5728,8304,2417,10699,1478,2188
+,1991,7834,1681,2621,5090,11216,6950
+,10891,2713,3992,5598,1675,8468,8476
+,11147,7615,6622,12797,8555,7964,5030
-,8969,12881,5633,10121,8620,8194,12000
+,5819,7615,8262,4259,1056,2767,12196
+,10874,1061,4824,4840,6263,49,12618
+,11830,12370,2341,5578,7100,3291,5546
-,12487,6261,3197,10523,12029,3874,12561
+,11846,7470,1618,3074,12874,12520,5790
+,12776,6586,2042,9965,6079,8042,2135
+,3887,1589,10189,2702,9645,12678,10713
-,1131,9591,12678,4603,312,6879,957
+,2479,2153,1477,7584,4123,4099,3511
+,9607,6571,435,5287,9133,2978,2413
+,2627,11866,8047,5389,2781,5148,580
-,8139,928,6899,3299,1924,3623,2886
+,6471,8950,1639,1786,4048,4970,4391
+,3786,5549,4194,9113,6121,5043,10490
+,1798,2680,3616,2675,2019,9668,9711
-,171,3787,10746,6888,2587,12341,4795
+,1639,10005,10114,9652,740,10716,9640
+,2006,6670,451,10340,11164,3050,10394
+,4997,12098,12994,1374,4696,10791,7246
-,4395,9843,11932,9495,7963,8071,3638
+,3676,5736,9923,3779,3211,12111,2096
+,9099,4751,1731,7263,7484,6419,2445
+,6558,8600,11597,857,10070,2151,9899
-,2665,12431,4980,10218,7183,3523,4078
+,5652,2430,9443,10372,1322,1083,3032
+,5669,7583,5299,9523,2017,9115,11808
+,3929,7218,8994,6547,10646,9306,6619
-,2006,6670,451,10340,11164,3050,10394
+,3205,6568,7537,5512,1582,5823,1109
+,47,12571,7099,7448,4375,8675,6451
+,7044,7415,8316,8946,761,3238,5991
-,4023,98,8824,6938,1139,8684,11719
+,12571,12108,3099,6008,11724,4949,9466
+,1921,12035,10952,2774,4685,7425,2670
+,7414,1681,6537,5782,148,586,6668
-,9099,4751,1731,7263,7484,6419,2445
+,752,9558,12258,3209,10394,6512,10630
+,11438,304,2103,5888,11730,9067,7271
+,7644,1733,10112,12038,2807,1514,9219
-,6285,9322,6414,10338,3556,5803,1030
+,12106,9782,972,4389,3535,9177,9781
+,2528,7236,7535,8308,2395,3468,8654
+,9278,1431,8617,7076,3348,2986,9538
-,10693,11940,11495,11944,1243,4957,11775
+,1538,8304,1757,8784,1626,7523,12433
+,10079,3573,10317,3561,6251,5764,12926
+,12254,6062,2127,6962,5575,6495,12241
-,6368,6065,8982,5545,2226,3772,8364
+,11986,2935,3508,12230,11588,10806,380
+,1414,6637,8326,11993,925,12606,10831
+,7432,6162,12621,5639,3997,6903,12559
-,10446,776,846,325,1070,9596,3629
+,2052,8155,1795,12668,11605,1864,9424
+,1750,8070,5575,7219,5223,42,470
+,10905,5296,8860,183,9727,8457,12014
-,303,4432,9812,10728,5198,7863,3690
+,10115,12650,9272,5016,10073,12751,6984
+,3389,12500,8534,9757,1363,5104,8148
+,10042,7368,4183,1302,6278,7183,4265
-,4501,3697,3073,5885,4926,3267,335
+,12828,1297,6540,905,271,10747,7342
+,11595,4144,1369,12433,9428,4991,2700
+,12926,543,5210,3784,7953,10216,7446
-,9237,9732,4361,8497,2005,656,9428
+,9058,11117,7497,6175,10032,10025,6968
+,4124,11132,6404,7657,4584,10657,6996
+,12971,7333,7515,893,741,125,5561
-,1338,3890,818,4261,2199,7249,4605
+,3562,7023,9147,9264,4158,9158,8249
+,6246,3985,9232,12799,2900,1153,8390
+,10972,11012,5392,4211,4586,12398,10708
-,9278,1431,8617,7076,3348,2986,9538
+,12433,12716,2310,4490,10346,5514,2217
+,4118,1631,4058,3225,7654,8907,3133
+,4240,9292,367,2036,2437,1831,9370
-,5243,2821,7243,11764,5629,12776,7789
+,9515,2176,1489,7664,4317,8662,8892
+,681,12612,10810,3343,6307,3229,10333
+,4559,886,8084,9833,9134,5828,4099
-,3607,9909,2224,6497,5980,12839,8029
+,3298,7474,1155,11311,9346,5604,1328
+,1897,5729,6046,12430,12717,555,6155
+,7514,2810,10790,2390,5744,6194,9222
-,752,9558,12258,3209,10394,6512,10630
+,10654,11521,12963,11498,6206,11435,7641
+,7631,6673,1804,12569,7828,945,8986
+,5620,1215,2829,7582,8936,1125,454
-,5062,1431,10602,7757,10841,9710,7405
+,10757,1523,9392,8561,8762,5844,12474
+,6732,9316,8381,12287,1993,6761,5223
+,5091,4727,2175,8199,5770,11672,4019
-,1362,7234,6390,922,6145,7483,331
