OP,A1,A2,A3,A4,A5,A6,A7
+,680,12028,11376,9636,2021,3145,10983
+,8054,6092,981,6113,623,4411,7156
+,363,9835,10242,4927,1804,5552,498
+,3753,9906,6806,6457,6696,12704,6031
+,10036,3808,9441,4881,2491,6277,4229
+,1280,8568,6571,9248,8036,6576,4075
-,8054,6092,981,6113,623,4411,7156
+,5741,10504,3780,4967,3221,7426,8635
+,3955,10024,3928,11113,6514,12528,10833
+,2266,2368,8190,9622,2346,12183,3441
+,7720,6604,6108,313,12360,104,9160
+,5119,1145,4285,11018,10148,3283,2981
+,894,12738,11927,4546,1307,8584,4741
-,2266,2368,8190,9622,2346,12183,3441
+,8700,6521,2524,4261,12476,3879,6167
+,2299,4279,6149,566,6819,760,1758
+,351,7744,4716,2890,5435,10518,12023
+,2232,2479,2737,4732,10806,4535,5726
+,1838,11781,4113,5775,2276,2720,3494
+,778,5143,5238,374,9581,12332,1485
-,1280,8568,6571,9248,8036,6576,4075
+,10228,3767,8369,1249,7486,6523,1201
+,559,1963,5236,1518,7021,5521,7157
+,5305,12423,7173,10979,5118,747,913
+,10227,12466,9230,9769,1852,8642,8882
+,12608,1635,4660,8729,6781,5247,4878
+,12550,11755,7063,2225,10265,1064,6405
-,5741,10504,3780,4967,3221,7426,8635
+,4334,5066,2746,7324,10920,7452,4459
+,2071,844,3257,10528,6775,7778,11703
+,3725,4567,2792,8545,11444,2379,776
+,4428,4869,2492,12574,576,4312,11424
+,2192,678,11883,10410,5942,10137,8555
+,2288,8041,2353,237,3021,9043,4738
-,2299,4279,6149,566,6819,760,1758
+,2041,12636,4262,6949,12784,10139,2794
+,10433,333,2692,3467,10589,2056,3663
+,1615,4463,1771,1111,12008,1472,6691
+,1953,5190,47,10932,1233,1176,8930
+,5179,7235,1738,11707,11964,11035,5832
+,5864,11845,2237,6919,11083,1868,4517
-,894,12738,11927,4546,1307,8584,4741
+,2905,10785,9390,10092,3453,680,3193
+,8505,5352,9625,8181,3750,6900,4590
+,608,12837,526,7650,344,6734,12937
+,3067,6735,3670,12557,9879,3053,4065
+,12123,6500,1643,335,9546,12558,2420
+,12861,12142,8185,1812,12882,5480,2655
-,4334,5066,2746,7324,10920,7452,4459
+,5777,93,6613,12641,7869,3470,182
+,10232,6406,7712,6188,11768,8607,11622
+,12316,6902,1996,7879,1340,5203,11292
+,6503,7519,4055,986,1449,2948,2931
+,898,7165,3300,1907,3230,5106,3686
+,2597,8675,1293,6861,9367,11611,11053
-,10227,12466,9230,9769,1852,8642,8882
+,4748,10206,11301,12286,12524,4709,6823
+,12114,2902,6850,5542,7084,555,2149
+,7525,10708,40,953,7139,7861,2513
+,3162,6606,4178,1124,12554,1530,10606
+,7278,813,564,1779,240,6668,3990
+,11266,3624,12356,4286,5495,4258,4937
-,7525,10708,40,953,7139,7861,2513
+,5867,12059,6613,6405,7641,2666,4755
+,10470,10612,8437,570,4634,1836,2517
+,8146,2254,6790,2359,9642,2620,7371
+,3628,8915,6947,6756,8002,9524,4699
+,4348,4990,10530,11513,10187,10950,3875
+,5424,8131,8272,4165,11049,8756,635
-,4428,4869,2492,12574,576,4312,11424
+,3425,5155,2887,5909,11075,7284,1300
+,421,7209,9038,6463,9542,1018,5631
+,11936,4531,4502,2951,6098,8681,1439
+,10992,12823,3138,12808,2450,4100,2018
+,7548,10778,12371,8520,4694,11175,2830
+,9006,11363,299,9825,2355,3871,1076
-,680,12028,11376,9636,2021,3145,10983
+,4480,1193,2259,261,7143,8231,12574
+,3891,9164,943,5689,1765,2979,11772
+,9412,11371,2499,6923,3877,10584,9921
+,12876,8131,12257,777,912,6173,3900
+,10793,7931,3635,10844,10376,5135,4114
+,4482,2857,8476,5419,5383,4090,5972
-,4480,1193,2259,261,7143,8231,12574
+,4716,9874,9562,11664,5786,4515,12813
+,12362,6565,3050,12111,7131,9027,9706
+,3290,8263,4991,2768,304,11438,1659
+,2171,5524,5131,7064,340,9067,972
+,1502,5250,29,10261,272,9143,7072
+,4213,5468,997,8901,1603,12849,1686
-,12550,11755,7063,2225,10265,1064,6405
+,6948,2292,11993,7239,3582,3293,10549
+,2176,6321,1143,8996,9929,7628,454
+,4436,10398,158,9386,4160,11722,5316
+,6321,4824,8698,9910,6191,2615,9116
+,6422,10604,12544,6244,2103,10680,11429
+,77,724,11847,11100,7697,11758,7456
-,5305,12423,7173,10979,5118,747,913
+,11211,18,9847,8129,6733,12624,10204
+,1496,4365,5870,6791,6400,6240,6430
+,5535,10706,11936,6793,6235,4245,9667
+,845,7419,5374,6402,11483,975,12153
+,7710,6772,6841,9168,9226,930,10395
+,4470,11720,1556,2870,8531,393,11230
-,5864,11845,2237,6919,11083,1868,4517
+,4128,3887,8732,12978,10866,9464,7665
+,12814,7913,11527,8192,9659,2850,8984
+,4240,5702,5655,8441,8196,10139,11150
+,2903,2240,7103,247,2504,12157,12330
+,10424,951,936,3183,4192,10,9048
+,8296,1222,2205,12270,10470,10311,473
-,12876,8131,12257,777,912,6173,3900
+,7680,11827,12197,10287,6067,12980,262
+,11521,1940,2012,432,9616,1628,10777
+,2825,6431,10621,4928,7429,12655,10575
+,2256,8641,7342,3379,275,2596,6382
+,4173,7218,6657,10572,753,11134,10032
+,6985,8997,601,7895,10059,12750,4112
-,12114,2902,6850,5542,7084,555,2149
+,2696,11324,6037,10811,10293,6118,3067
+,12586,11496,1312,6878,9954,4782,10568
+,7650,2045,5217,1676,6818,2067,9489
+,7077,3875,840,4146,6884,1037,463
+,8123,4590,2209,847,8868,1712,12818
+,12977,12741,11437,7792,3382,3356,12722
-,10992,12823,3138,12808,2450,4100,2018
+,3163,6642,3135,12121,3965,11414,11572
+,5342,3811,1592,6454,1269,3899,3224
+,7360,7805,12529,5987,9628,1407,5003
+,6405,4563,12703,5334,8304,3383,3534
+,3059,10913,11956,7133,10628,856,204
+,8174,4203,3302,11754,4566,4947,11473
-,3162,6606,4178,1124,12554,1530,10606
+,6805,7832,9946,7461,3314,6442,909
+,631,12880,4104,4315,11943,2556,7080
+,10855,5423,1678,1546,4705,8675,6450
+,2830,10371,2882,6476,11806,7862,9555
+,7230,9009,11588,9988,216,4394,175
+,6318,5748,11006,7070,11006,11596,5082
-,7278,813,564,1779,240,6668,3990
+,165,7704,10632,1321,2746,293,1627
+,5786,958,2620,12370,6327,1237,10432
+,9123,1047,5936,2791,10125,5156,889
+,5134,10365,5786,5165,9617,12974,2087
+,10732,3668,6280,1173,7644,4359,1768
+,3033,3676,493,12452,8722,8967,4858
-,5342,3811,1592,6454,1269,3899,3224
+,3486,3439,10537,7338,9582,7108,8666
+,12467,7489,613,11427,5424,9939,9451
+,9848,1398,10547,1291,2587,12011,9388
+,8378,10548,6199,5777,9907,4272,5962
+,6449,5313,4790,4495,1832,5600,9380
+,7659,8208,3955,12784,6614,2324,6976
-,2696,11324,6037,10811,10293,6118,3067
+,10526,8650,4372,12753,11051,4348,12928
+,11806,9343,8997,3816,10204,9298,700
+,8367,12948,11389,366,2227,2315,2725
+,5580,4886,1920,7508,11694,7799,1817
+,2615,6979,3558,8863,5586,1733,10135
+,6307,2505,10980,489,314,1411,6967
-,845,7419,5374,6402,11483,975,12153
+,9333,5578,11753,1380,4001,6866,12131
+,8446,3837,6187,10090,8853,10847,10201
+,9810,1239,3866,12492,9967,12797,1766
+,6141,5279,10632,7686,105,9698,10039
+,8775,5214,11885,7021,4376,10626,12060
+,3857,1831,8021,5261,9184,5054,5469
-,608,12837,526,7650,344,6734,12937
+,2341,7961,29,7942,8977,7422,12961
+,11931,10426,2466,8439,11277,11274,6914
+,4177,6903,9994,6250,10767,5595,11636
+,6142,91,2804,5286,6412,12796,11327
+,11462,10688,3930,9234,6412,10889,12835
+,5954,9392,2811,9269,11529,7756,4499
-,3067,6735,3670,12557,9879,3053,4065
+,3391,9671,5569,6132,9459,6420,6604
+,10185,12357,3709,2140,6640,411,10106
+,5732,4381,4983,10939,10197,12295,1105
+,9517,10309,3846,8296,11868,11939,11524
+,2815,8984,11533,6424,12813,7905,11620
+,1576,10963,9139,3969,12239,3084,4799
-,11462,10688,3930,9234,6412,10889,12835
+,659,4732,5454,1887,2218,4611,3796
+,7399,12439,1080,8220,5291,6016,12232
+,8632,5010,11579,1031,2210,347,3293
+,2713,1925,175,9779,12898,1175,1467
+,12746,9450,3787,8908,2897,9589,7630
+,7555,9555,10998,2332,7521,5088,4589
-,2256,8641,7342,3379,275,2596,6382
+,750,11556,1838,6912,1516,5761,7763
+,11934,1473,10809,11834,9142,2027,7909
+,10775,9856,12404,5688,5450,7906,10120
+,3270,12144,12608,3295,6494,978,8206
+,6984,1961,4839,7776,1720,7630,4606
+,10352,9964,4432,3482,6737,9578,6495
-,5786,958,2620,12370,6327,1237,10432
+,11296,376,2825,9027,9706,10444,8621
+,12436,12729,3497,12004,7258,6128,1728
+,4146,9895,10221,1731,5970,1147,3592
+,5835,7728,7850,6106,7272,3305,10709
+,1073,1085,1461,2420,6919,4813,2441
+,12942,9107,8828,666,2288,1692,3317
-,10775,9856,12404,5688,5450,7906,10120
+,4145,2403,12313,6212,294,10288,7432
+,2855,11558,425,5388,2762,5875,10974
+,5380,6334,1319,8972,11370,4903,4152
+,4055,12481,1584,6484,7949,7697,10973
+,7505,7848,9495,7774,758,8821,6297
+,5575,8562,7202,3683,7526,400,2
-,12746,9450,3787,8908,2897,9589,7630
+,3178,10366,7560,6758,7428,3545,6442
+,245,10102,5598,6752,6434,7257,9620
+,6966,11379,12941,2541,5124,11658,7356
+,3686,11341,12178,11115,12310,7446,8896
+,1194,2213,4709,1279,3300,6081,11831
+,12966,1594,9966,8718,2849,7890,1796
-,2905,10785,9390,10092,3453,680,3193
+,4798,3068,903,1402,11611,5404,46
+,1237,10755,2355,9769,281,6596,12619
+,7633,2249,5482,1969,6868,3032,4828
+,3097,8298,11280,5137,398,4066,6944
+,2072,10910,1095,11067,11695,11477,4772
+,5762,2692,6154,4363,11443,6944,4187
-,6307,2505,10980,489,314,1411,6967
+,11547,4098,7998,5795,11659,10700,1094
+,3326,836,1510,6402,6,2005,7163
+,12329,8804,10900,1077,2701,1092,10558
+,2138,8989,2999,7973,9475,1301,10031
+,7258,210,12561,10025,12173,1237,9216
+,6635,6955,5235,6405,2294,4312,2226
-,5380,6334,1319,8972,11370,4903,4152
+,2723,7250,2975,8940,2149,117,12053
+,5831,8025,11483,3886,5671,5121,4972
+,12248,1972,2564,6965,2120,9883,3451
+,4324,4487,2354,609,6401,8233,6286
+,10437,6935,12989,9636,5907,4641,6999
+,8507,274,11433,7605,9465,10435,10643
-,2615,6979,3558,8863,5586,1733,10135
+,1786,516,10956,5532,7785,5888,11779
+,6837,4731,5058,336,8784,12099,4284
+,6472,3225,3400,9277,9760,11578,11455
+,141,3576,4010,10229,544,4187,10467
+,3211,4308,8349,10206,10256,3674,6010
+,5498,534,1609,7266,9592,11723,11448
-,8775,5214,11885,7021,4376,10626,12060
+,2569,255,192,3202,7304,12767,6794
+,8358,5392,6470,299,11620,602,10956
+,5637,1872,7203,6074,1760,5089,2619
+,661,11932,2962,6510,3783,8449,2935
+,10382,5916,12784,2382,11980,5401,8288
+,7378,9593,468,2957,4379,6073,5647
-,6837,4731,5058,336,8784,12099,4284
+,7871,2966,1891,12898,12908,5647,5528
+,5252,3223,10070,9032,4407,12412,7834
+,6442,11001,9769,806,3384,3037,10307
+,2172,5985,1107,5829,7909,7188,11975
+,2123,7493,12214,3866,11641,8634,5002
+,3490,11909,6641,923,6055,3567,7828
-,6635,6955,5235,6405,2294,4312,2226
+,12813,8008,669,5445,6380,1898,10720
+,2164,4946,6435,709,3524,9856,5684
+,1588,9410,6680,6293,2937,10288,8219
+,5328,2680,668,10243,10068,5339,9939
+,4306,10065,4424,468,5056,37,5594
+,7690,10381,6689,9967,11980,12960,650
-,11806,9343,8997,3816,10204,9298,700
+,11580,8460,8269,1450,9448,3435,3134
+,8483,10813,11442,7396,570,6269,3441
+,2985,9978,2996,2185,11025,2436,2480
+,4614,6662,5678,8523,7814,10153,4939
+,11798,437,9751,10213,2878,5792,11976
+,1049,2220,3293,6539,7922,2056,3016
-,3326,836,1510,6402,6,2005,7163
+,1721,10619,4070,2411,6472,5405,3219
+,5116,5188,6579,1841,1601,7681,1329
+,733,10381,843,10590,6208,2789,9767
+,11281,7482,7602,328,6047,665,3093
+,8042,232,8903,3376,12069,12615,2718
+,3494,6038,4620,9821,12972,10418,9825
-,7680,11827,12197,10287,6067,12980,262
+,2780,4577,1453,5838,5730,7568,3294
+,5,9789,7108,11333,6788,3189,7834
+,9890,2428,5878,6456,10994,1043,10926
+,5570,7349,9541,10755,994,7799,9985
+,11775,1333,5753,8185,5221,2749,11441
+,542,7107,9701,10050,7654,8508,1962
-,750,11556,1838,6912,1516,5761,7763
+,8532,2373,11733,5153,4600,11157,10855
+,9467,10651,7332,4376,4079,3360,12826
+,8212,9949,11571,10252,8760,1681,12548
+,12709,86,53,12054,8332,4474,6116
+,4087,20,2306,5202,2638,743,350
+,7541,11804,12045,5258,11962,11173,11395
-,8042,232,8903,3376,12069,12615,2718
+,4939,7391,2439,7457,5521,10652,11724
+,1618,1298,9232,8164,9956,5260,1481
+,1350,3353,6019,2464,3687,3998,5191
+,8770,11252,8529,11215,7681,798,1088
+,9165,3464,12597,381,6000,590,3959
+,1419,8888,12933,110,3615,333,2706
-,11266,3624,12356,4286,5495,4258,4937
+,8413,1641,6353,10912,1701,6918,2159
+,2534,2383,4796,6516,1373,12899,1889
+,5253,3600,6947,2177,3898,9092,4033
+,12063,3950,4955,10335,5725,7226,4131
+,6896,1799,12631,11684,9625,8224,11348
+,11536,4901,6354,9437,1955,6385,5091
-,6472,3225,3400,9277,9760,11578,11455
+,11068,9050,9958,279,3381,3169,11208
+,11069,3313,674,12893,8012,11927,2799
+,11137,7648,11323,6874,8750,4211,5378
+,4022,12455,8200,6881,11198,10760,11127
+,2945,9455,12887,2488,2055,10281,10079
+,4053,4033,5648,1995,5771,7115,4041
-,10424,951,936,3183,4192,10,9048
+,6186,12005,4171,5150,11255,6889,12009
+,730,6816,9816,4897,1963,11257,12624
+,1735,8621,2910,12659,2402,10693,6645
+,10510,1815,6180,9805,1311,9872,12816
+,4471,393,218,9761,9511,12726,9606
+,9390,85,9087,3872,5182,10493,8760
-,12586,11496,1312,6878,9954,4782,10568
+,12359,5314,8530,4554,12388,11694,3367
+,2492,1851,4936,7313,6858,5957,10102
+,8707,7303,4837,5824,4582,6864,8146
+,11896,5525,10997,1677,10210,11760,11993
+,2684,11181,10079,2937,12369,12484,7132
+,5409,8350,12555,11732,4264,7280,2433
-,10793,7931,3635,10844,10376,5135,4114
+,12553,12668,1113,3696,6956,1592,5121
+,8335,12669,5358,3338,1874,6533,4049
+,9042,5236,10830,12005,5306,10319,4219
+,4844,2522,5005,10137,4501,4242,12396
+,8797,5095,203,10448,5116,9277,11334
+,11389,1095,10047,9466,12549,8137,3178
-,4939,7391,2439,7457,5521,10652,11724
+,12489,9515,11500,10913,5107,10035,971
+,4646,4666,1496,12209,3652,10421,2930
+,2355,2503,1599,1739,3800,5550,2052
+,9484,5067,5523,4119,8678,1670,3312
+,4535,1924,341,8890,7141,3374,708
+,6515,4623,6858,10530,10392,5918,10110
-,1953,5190,47,10932,1233,1176,8930
+,278,6585,2155,327,1484,9635,7440
+,11800,3555,3620,2482,5839,8131,2334
+,1684,10768,5344,6733,10464,184,7711
+,6983,8971,2131,3295,9583,6309,7937
+,12403,6163,1669,11418,7917,5624,6582
+,684,11382,10130,2470,2529,4640,6110
-,3490,11909,6641,923,6055,3567,7828
+,2495,2095,4401,9120,11136,8801,6788
+,8680,12460,2369,3015,1739,1508,11287
+,2715,4183,4288,1474,320,739,2121
+,3299,11986,4335,4380,6740,8761,12654
+,2950,3083,366,6302,11049,12926,525
+,4330,910,11098,2188,7503,7160,5262
-,1576,10963,9139,3969,12239,3084,4799
+,6814,4247,11320,12976,2936,3571,9660
+,7247,11563,7200,5283,74,7635,12321
+,7101,5849,9749,3469,9227,1293,472
+,8475,9451,4579,4515,9770,4106,8458
+,3806,3748,2156,2977,865,6224,11398
+,6859,7620,10414,9052,8768,12923,3436
-,7650,2045,5217,1676,6818,2067,9489
+,10761,10146,2744,1977,4113,7469,3958
+,11326,6676,8298,10481,4418,8765,4747
+,1486,454,977,1062,1457,11600,3095
+,12819,2437,780,10355,86,5136,10491
+,11096,8499,9236,10288,10183,6699,2987
+,916,123,10797,2304,3482,8172,6297
-,4471,393,218,9761,9511,12726,9606
+,8840,190,8467,8552,8668,12906,12743
+,1740,1604,2720,6946,2607,4355,7144
+,1002,4803,5114,1507,3523,5967,10840
+,3896,12310,8404,11267,9949,6892,1817
+,9564,1615,4456,8207,2077,3077,9682
+,5804,7564,12464,8223,723,4049,6530
-,1735,8621,2910,12659,2402,10693,6645
