OP,A1,A2,A3,A4,A5,A6,A7
+,7967,3045,10921,1256,5523,4588,502
+,10594,7944,6939,4319,5838,1243,6485
+,10522,718,3110,906,5947,1609,8807
+,6982,5168,3036,12557,6423,1053,9967
+,5986,10412,952,6749,7674,5330,5417
+,1028,9665,5971,9066,2016,8788,2364
+,8014,12570,3170,4193,12316,12324,2979
+,939,3522,4163,12293,4064,3749,1615
+,3046,8467,6542,2275,262,6431,6211
+,8951,11385,808,1885,6788,12476,2768
+,6633,1340,7803,9469,7916,4004,7501
+,112,8665,9484,1941,2168,9872,6620
+,3491,2702,5188,1482,1875,2250,10192
-,5986,10412,952,6749,7674,5330,5417
+,2450,4717,2146,12695,2817,6675,431
+,11987,3305,7198,3126,3182,2295,4862
+,11048,9888,9010,271,11063,5467,10578
+,1089,9947,12658,6469,3889,5298,7261
+,4780,3534,8003,8230,4126,6848,12914
+,10224,7661,12068,2837,5514,2181,11039
+,12712,1989,6768,11740,9976,5550,2988
+,4006,7198,3305,11216,6310,9277,10351
+,5439,4660,8201,9931,8280,1566,7616
+,1113,10431,6742,2571,10270,12376,2866
+,4776,4784,3427,8951,6228,11531,1601
+,9052,3755,4002,976,9805,12364,2097
+,3232,4584,9271,3515,2907,1628,3995
-,3046,8467,6542,2275,262,6431,6211
+,11925,8171,7978,399,6222,11720,5299
+,11150,10725,10136,4628,5271,2417,11845
+,9917,2340,2609,10536,12899,6391,7713
+,694,938,534,1237,8065,5852,11225
+,2571,8271,11982,993,6584,2819,1020
+,12041,3643,6952,10391,9695,3113,2094
+,220,5571,5614,5363,123,11616,10652
+,7867,11429,8557,7064,11099,2815,3836
+,6345,11007,6844,4391,3859,2234,8424
+,9118,5029,10307,402,3082,7839,7132
+,2197,1948,7959,7174,3494,2991,12565
+,6041,7797,3130,12004,3439,5928,4056
+,1233,11190,11199,5455,26,2446,4321
-,3491,2702,5188,1482,1875,2250,10192
+,2385,1113,1853,1251,300,11751,12969
+,3300,6211,1769,5143,9349,1346,5629
+,628,986,12613,2327,5248,2962,10010
+,1939,4709,3671,6543,12631,5774,4563
+,6616,3232,2706,3692,1784,3184,2550
+,10771,2409,7816,4555,6114,10021,6595
+,7879,10702,2640,8888,8215,257,5039
+,11974,4398,5898,1324,3935,11176,9944
+,3767,1151,3104,5518,3146,12352,12728
+,6295,11472,8116,12043,761,4268,7651
+,2247,4089,133,2060,4881,1384,11653
+,9889,3224,3775,4806,11244,10519,5872
+,3197,12179,9493,2158,392,2147,552
-,9889,3224,3775,4806,11244,10519,5872
+,11445,9903,8408,1204,2953,5863,12888
+,6460,6266,5918,8217,9218,6239,3556
+,2848,2206,3582,11879,12679,6288,10106
+,6397,415,6296,6147,7657,7165,8329
+,12966,5844,11966,7885,1259,1677,6763
+,3804,7083,12843,5036,4796,2569,7898
+,11982,7598,2161,8058,1659,2847,5763
+,10926,7585,8010,3816,6762,9845,3214
+,4751,6004,2937,12750,8222,6428,2246
+,8790,816,2067,11998,10237,9591,12342
+,4376,10071,131,10875,9804,249,1428
+,9021,2918,793,4847,8351,2623,6404
+,1910,4197,4884,12563,6716,9576,10843
-,11150,10725,10136,4628,5271,2417,11845
+,5040,12168,10939,6169,1454,2942,9342
+,9316,5461,5145,4476,9275,11862,9035
+,3239,6828,9523,9264,3266,11931,6452
+,8215,4796,11177,129,7703,10521,1188
+,568,10438,2163,11734,5179,1664,941
+,2944,11888,6043,11541,3302,11345,657
+,5143,7866,4079,578,1165,9121,7496
+,10267,1486,11259,2123,7714,6373,11981
+,6768,1848,406,6413,4651,2301,10240
+,11866,1063,6683,7328,6798,1887,16
+,10037,6253,3199,11623,4470,8344,6533
