OP,A1,A2,A3,A4,A5,A6,A7
+,6000,9616,6647,11664,9454,11207,8455
-,6000,9616,6647,11664,9454,11207,8455
+,5138,12221,3153,8263,9565,5458,12147
-,5138,12221,3153,8263,9565,5458,12147
+,7210,6147,3738,5864,7088,10974,11980
-,7210,6147,3738,5864,7088,10974,11980
+,4336,1736,3702,5686,6639,4629,8582
-,4336,1736,3702,5686,6639,4629,8582
+,11837,1576,8812,9529,2385,5812,4339
-,11837,1576,8812,9529,2385,5812,4339
+,1006,1620,2411,4727,5418,7151,8525
-,1006,1620,2411,4727,5418,7151,8525
+,372,1554,6471,7537,5268,3659,10798
-,372,1554,6471,7537,5268,3659,10798
+,6591,12481,851,5929,34,11529,10014
-,6591,12481,851,5929,34,11529,10014
+,243,4149,6016,340,3541,8284,2241
-,243,4149,6016,340,3541,8284,2241
+,5344,11645,6797,11807,4287,5450,964
-,5344,11645,6797,11807,4287,5450,964
+,10980,10577,4969,11367,12063,4669,1871
-,10980,10577,4969,11367,12063,4669,1871
+,12000,12330,4,3541,6234,2464,907
-,12000,12330,4,3541,6234,2464,907
+,110,2634,11218,2405,11954,11483,10058
-,110,2634,11218,2405,11954,11483,10058
+,6792,1546,8202,6536,11260,1910,3811
-,6792,1546,8202,6536,11260,1910,3811
+,408,427,3627,8797,8234,3664,9762
-,408,427,3627,8797,8234,3664,9762
+,11001,5408,1483,8259,381,8069,5698
-,11001,5408,1483,8259,381,8069,5698
+,11731,4788,10069,10001,7796,633,6042
-,11731,4788,10069,10001,7796,633,6042
+,8840,6355,2670,5663,4493,7294,10184
-,8840,6355,2670,5663,4493,7294,10184
+,11267,837,12269,1181,4483,3263,11549
-,11267,837,12269,1181,4483,3263,11549
+,10890,9963,6735,2279,11702,690,11770
-,10890,9963,6735,2279,11702,690,11770
+,7045,12861,7352,2662,6495,8006,12400
-,7045,12861,7352,2662,6495,8006,12400
+,9115,1622,9321,10028,1233,10269,11020
-,9115,1622,9321,10028,1233,10269,11020
+,1947,11025,8244,466,955,7779,8373
-,1947,11025,8244,466,955,7779,8373
+,7950,12523,4433,11862,7226,7895,11324
-,7950,12523,4433,11862,7226,7895,11324
+,11651,10216,9416,11891,6463,8851,7664
-,11651,10216,9416,11891,6463,8851,7664
+,2102,2659,431,3612,4971,5821,10504
-,2102,2659,431,3612,4971,5821,10504
+,1826,1912,5563,3073,9452,11685,8491
-,1826,1912,5563,3073,9452,11685,8491
+,3107,1235,11069,10146,10800,9348,10549
-,3107,1235,11069,10146,10800,9348,10549
+,3247,5557,5462,11643,7341,11361,74
-,3247,5557,5462,11643,7341,11361,74
+,8215,11094,10540,11705,10254,3858,1104
-,8215,11094,10540,11705,10254,3858,1104
+,560,5958,8756,5586,11030,9660,1891
-,560,5958,8756,5586,11030,9660,1891
+,5351,2593,3718,4591,11348,5908,1164
-,5351,2593,3718,4591,11348,5908,1164
+,1355,12672,3888,1265,12145,10592,6423
-,1355,12672,3888,1265,12145,10592,6423
+,1873,8152,3542,4915,6652,7126,11280
-,1873,8152,3542,4915,6652,7126,11280
+,7848,584,3844,10383,8875,4231,5745
-,7848,584,3844,10383,8875,4231,5745
+,6488,6438,5234,1904,11517,6683,6798
-,6488,6438,5234,1904,11517,6683,6798
+,120,5084,7600,11295,11474,11858,845
-,120,5084,7600,11295,11474,11858,845
+,9272,7433,6853,5547,7414,5322,10502
-,9272,7433,6853,5547,7414,5322,10502
+,9545,8647,6888,11138,4340,1222,265
-,9545,8647,6888,11138,4340,1222,265
+,2135,9856,11880,3024,11084,5472,12202
-,2135,9856,11880,3024,11084,5472,12202
+,172,8611,184,11589,6931,9900,10549
-,172,8611,184,11589,6931,9900,10549
+,10626,2900,2926,0,5827,6603,2543
-,10626,2900,2926,0,5827,6603,2543
+,12756,2778,896,4273,10515,10706,635
-,12756,2778,896,4273,10515,10706,635
+,7344,5210,6891,8643,719,8492,5392
-,7344,5210,6891,8643,719,8492,5392
+,1681,12796,12891,11807,11894,3725,3160
-,1681,12796,12891,11807,11894,3725,3160
+,9510,5267,2457,7847,12784,7254,5212
-,9510,5267,2457,7847,12784,7254,5212
+,2800,6781,12990,6124,4787,4068,3590
-,2800,6781,12990,6124,4787,4068,3590
+,12502,3819,1359,815,8,11132,10790
-,12502,3819,1359,815,8,11132,10790
+,5979,8283,6318,1145,1106,10599,7919
-,5979,8283,6318,1145,1106,10599,7919
+,4768,8003,408,8789,3,10308,2433
-,4768,8003,408,8789,3,10308,2433
+,9585,9214,2054,11954,1456,2153,9919
-,9585,9214,2054,11954,1456,2153,9919
+,5399,6368,8433,7307,10904,4212,12800
-,5399,6368,8433,7307,10904,4212,12800
+,12455,5176,11957,6572,12877,7058,8860
-,12455,5176,11957,6572,12877,7058,8860
+,4642,9423,1746,12718,9549,4194,9723
-,4642,9423,1746,12718,9549,4194,9723
+,6098,1043,9855,12549,8345,11089,12654
-,6098,1043,9855,12549,8345,11089,12654
+,10095,5780,5031,1143,5521,10030,3477
-,10095,5780,5031,1143,5521,10030,3477
+,7641,3825,8990,12936,5901,1347,10619
-,7641,3825,8990,12936,5901,1347,10619
+,10885,3540,837,5536,1839,5401,5091
-,10885,3540,837,5536,1839,5401,5091
+,12252,448,717,656,10020,12793,12053
-,12252,448,717,656,10020,12793,12053
+,5142,7396,10493,12717,1197,7430,12522
-,5142,7396,10493,12717,1197,7430,12522
+,5826,6150,273,11324,4224,111,3891
-,5826,6150,273,11324,4224,111,3891
+,5121,420,1776,2690,11506,3726,8758
-,5121,420,1776,2690,11506,3726,8758
+,829,5878,8622,12867,11020,5143,1584
-,829,5878,8622,12867,11020,5143,1584
+,9745,9841,1003,1834,1688,1632,7217
-,9745,9841,1003,1834,1688,1632,7217
+,10846,10243,5730,5365,9506,4861,11833
-,10846,10243,5730,5365,9506,4861,11833
+,9623,3311,4084,6616,10613,9538,8808
-,9623,3311,4084,6616,10613,9538,8808
+,11548,1545,398,2583,5198,3105,5987
-,11548,1545,398,2583,5198,3105,5987
+,10344,10491,6088,2561,4942,9982,5463
