OP,A1,A2,A3,A4,A5,A6,A7
+,11631,7218,3538,6508,9074,2225,8447
+,1582,772,6767,10627,6817,3110,441
+,5138,11206,9494,12852,3257,4753,2286
-,5138,11206,9494,12852,3257,4753,2286
+,5618,5290,2821,3818,102,1174,5746
+,9924,9703,1597,2450,12328,7640,11646
+,2668,7508,569,10717,2662,10388,7076
-,11631,7218,3538,6508,9074,2225,8447
+,6643,4604,5435,4681,10436,8620,11019
+,10847,12097,360,9378,1578,12157,8142
+,2259,1825,12916,9552,6996,5754,4949
-,2668,7508,569,10717,2662,10388,7076
+,526,4513,2491,7450,10381,10390,11017
+,1055,9880,8251,8299,2587,1642,11546
+,3833,4998,318,6124,2370,2834,10562
-,5618,5290,2821,3818,102,1174,5746
+,10329,7943,10634,3916,3206,12351,8277
+,8813,9168,11172,3810,1497,6573,4424
+,1869,11929,5763,10422,8088,1534,243
-,9924,9703,1597,2450,12328,7640,11646
+,12341,9623,6158,2186,10646,1300,2684
+,7864,12059,7420,11792,6427,507,1003
+,11078,2431,5119,6820,8353,3536,3142
-,526,4513,2491,7450,10381,10390,11017
+,5584,9452,3,7628,10575,2246,9782
+,12713,10729,1848,11503,5849,10374,5424
+,5871,1127,11942,9859,7744,4455,11223
-,6643,4604,5435,4681,10436,8620,11019
+,10148,5590,5226,1353,7071,8410,6638
+,4307,5230,801,7136,3921,11476,6708
+,9283,6163,120,2609,8256,10732,8263
-,11078,2431,5119,6820,8353,3536,3142
+,3507,1592,7118,5258,693,8787,2556
+,7633,6728,5565,12731,12009,10008,5974
+,2996,8652,2159,7731,11112,4146,6975
-,1582,772,6767,10627,6817,3110,441
+,2368,10940,3462,2706,2188,2734,7634
+,5644,7976,11033,5941,408,1714,12866
+,8173,5087,10818,2454,2198,3140,584
-,5871,1127,11942,9859,7744,4455,11223
+,11989,262,8152,5230,6878,6714,7665
+,5030,6381,1220,6521,7999,1150,1315
+,8109,11961,9567,394,7394,7941,3906
-,10329,7943,10634,3916,3206,12351,8277
+,7078,7680,4262,4361,11531,7305,9502
+,8655,1605,10765,8739,4174,11969,3580
+,9070,37,3539,11131,11656,6746,9557
-,7864,12059,7420,11792,6427,507,1003
+,9113,12583,1300,8487,5953,6413,7434
+,7901,1007,4229,5649,7057,1396,6612
+,2428,6393,4105,11456,9453,405,2469
-,8655,1605,10765,8739,4174,11969,3580
+,5356,524,1367,12313,12970,4636,228
+,9054,11127,9043,10862,5504,2249,3367
+,8307,5114,4529,4332,993,9782,12196
-,10148,5590,5226,1353,7071,8410,6638
+,2744,1112,578,12262,6684,12670,7706
+,12107,12267,5116,7474,6556,4063,3586
+,6965,1783,4201,9974,597,7193,1019
-,7078,7680,4262,4361,11531,7305,9502
+,10916,2449,682,4438,10693,6925,2426
+,11369,9314,7644,3513,849,664,1438
+,5615,5173,8732,8210,4418,7356,2865
-,2368,10940,3462,2706,2188,2734,7634
+,4471,2719,107,3848,526,10404,4218
+,7084,12488,7004,8764,7126,9478,5663
+,7821,3725,3649,7738,5943,4997,3836
