OP,A1,A2,A3,A4,A5,A6,A7
+,9541,6489,810,1252,9921,7417,2521
+,2414,11106,9875,2327,11367,8509,6939
-,9541,6489,810,1252,9921,7417,2521
+,4911,9616,3956,7746,12024,10851,9241
+,7094,10963,4059,2707,3770,10146,6427
-,4911,9616,3956,7746,12024,10851,9241
+,4744,11073,8497,659,9895,3016,840
+,4477,9346,12191,11262,658,10116,6800
-,2414,11106,9875,2327,11367,8509,6939
+,8321,11913,3593,320,6453,4811,12765
+,10779,8079,10208,7381,10449,5338,8468
-,4477,9346,12191,11262,658,10116,6800
+,6011,1322,9757,12001,8619,11927,7008
+,9543,8030,2953,7083,8096,3526,1223
-,7094,10963,4059,2707,3770,10146,6427
+,11860,11005,12040,5663,1115,6562,66
+,7312,7716,10187,5767,2530,5860,2874
-,10779,8079,10208,7381,10449,5338,8468
+,5977,7341,7390,10194,6699,1231,12999
+,2171,7610,5795,11214,2824,8596,9683
-,11860,11005,12040,5663,1115,6562,66
+,10129,2130,2048,7322,3843,4463,2159
+,3818,4950,7116,10844,9961,11435,11790
-,9543,8030,2953,7083,8096,3526,1223
+,7560,9262,11100,8346,4,346,3894
+,1776,8100,6619,7331,7178,8722,2529
-,7312,7716,10187,5767,2530,5860,2874
+,1118,2140,4519,3947,9871,9233,4227
+,3171,11836,10218,7135,1036,3312,8780
-,4744,11073,8497,659,9895,3016,840
+,9982,9608,8064,5906,1336,9086,805
+,771,2261,3309,5203,3239,11475,1055
-,5977,7341,7390,10194,6699,1231,12999
+,965,4774,12680,1044,12915,5029,11442
+,8531,3851,12117,3067,7560,2578,1969
-,1118,2140,4519,3947,9871,9233,4227
+,1755,6361,6590,7467,7935,8904,3056
+,7463,12893,7941,8484,3051,12076,2325
-,3171,11836,10218,7135,1036,3312,8780
+,437,7638,7009,7999,5593,1270,3746
+,9307,10672,11430,9504,9245,8834,4292
-,8531,3851,12117,3067,7560,2578,1969
+,7820,7709,1962,10584,11595,8988,11253
+,11993,4534,5583,3807,3313,8826,4521
-,9307,10672,11430,9504,9245,8834,4292
+,1836,2424,9014,9219,3584,172,5497
+,12402,10836,5599,7335,8277,3064,4469
-,3818,4950,7116,10844,9961,11435,11790
+,12898,5198,336,11542,3341,6944,7976
+,6999,2492,10868,226,6700,1431,4141
-,7820,7709,1962,10584,11595,8988,11253
+,12450,7798,881,6800,9708,469,12148
+,11946,1737,6350,5547,273,11539,2265
-,10129,2130,2048,7322,3843,4463,2159
+,6888,2069,6659,10514,144,6354,4523
+,3477,5923,10009,12176,5322,11866,395
-,12402,10836,5599,7335,8277,3064,4469
+,2200,2317,2864,3594,11364,9418,2439
+,4087,1516,1493,378,975,4420,7694
-,2200,2317,2864,3594,11364,9418,2439
+,12942,3146,2907,4760,5527,3915,11180
+,571,11437,11280,3550,2486,4476,4766
-,1776,8100,6619,7331,7178,8722,2529
+,9862,6136,2725,12460,6165,1650,4042
+,8474,9472,1564,7062,12865,4691,9016
-,11993,4534,5583,3807,3313,8826,4521
+,35,1544,6576,2627,9758,7152,12811
+,5406,2926,9649,6656,5989,5183,3292
-,1755,6361,6590,7467,7935,8904,3056
+,12639,513,6774,4251,339,7000,720
+,3566,7210,9296,11243,6360,6144,1022
-,11946,1737,6350,5547,273,11539,2265
+,1569,12225,7733,3744,11388,10815,4305
+,509,4240,10377,8299,5637,11784,4614
-,12898,5198,336,11542,3341,6944,7976
+,12895,9394,12558,4108,8438,6863,1241
+,553,10521,8797,4425,10485,11335,8331
-,1836,2424,9014,9219,3584,172,5497
+,702,2646,4858,3489,9559,6852,9296
+,9515,90,6992,6592,6651,9371,7380
-,8474,9472,1564,7062,12865,4691,9016
+,9466,5340,8155,747,4101,9996,4770
+,8390,1713,6009,8025,8807,12014,11310
-,9982,9608,8064,5906,1336,9086,805
+,7871,317,5951,11706,9651,7998,42
+,9936,10096,6086,11368,8974,1569,11891
-,702,2646,4858,3489,9559,6852,9296
+,11436,4894,5990,6029,12730,2304,10398
+,6909,6644,9049,3634,1727,7739,5800
-,7560,9262,11100,8346,4,346,3894
+,11271,8324,4013,11601,5886,3284,1439
+,6522,11009,8961,93,5635,9837,5572
-,9515,90,6992,6592,6651,9371,7380
+,631,3433,1913,9629,4663,11662,6109
+,7186,9322,4862,3318,2621,2163,3907
-,965,4774,12680,1044,12915,5029,11442
+,477,1365,4368,12780,7658,6845,4327
+,681,5501,7119,11233,8309,3127,1608
-,8321,11913,3593,320,6453,4811,12765
+,3504,6377,424,12887,5752,8988,4457
+,7423,19,7974,3012,11844,7724,5629
-,12942,3146,2907,4760,5527,3915,11180
+,525,10374,3975,6028,10512,3765,8094
+,5162,7710,1583,8404,7135,1104,6615
-,6999,2492,10868,226,6700,1431,4141
