OP,A1,A2,A3,A4,A5,A6,A7
+,12515,8608,479,1233,5949,485,1661
-,12515,8608,479,1233,5949,485,1661
+,4551,6121,12556,8473,7505,5778,4515
-,4551,6121,12556,8473,7505,5778,4515
+,2852,9435,5441,6220,7542,4565,6595
-,2852,9435,5441,6220,7542,4565,6595
+,4241,8136,8760,11956,6670,5899,10019
-,4241,8136,8760,11956,6670,5899,10019
+,3389,10784,236,2300,3458,10615,751
-,3389,10784,236,2300,3458,10615,751
+,4726,2322,4344,12275,4458,5521,3647
-,4726,2322,4344,12275,4458,5521,3647
+,9034,2946,852,11759,4408,11845,2795
-,9034,2946,852,11759,4408,11845,2795
+,4116,3843,8081,824,5396,1934,9967
-,4116,3843,8081,824,5396,1934,9967
+,6309,9570,6025,6780,2633,3218,4690
-,6309,9570,6025,6780,2633,3218,4690
+,394,5550,7489,1646,12099,11815,1793
-,394,5550,7489,1646,12099,11815,1793
+,8096,8019,4424,5199,4514,3721,289
-,8096,8019,4424,5199,4514,3721,289
+,9729,1939,8687,10190,12,488,2796
-,9729,1939,8687,10190,12,488,2796
+,7004,7335,11587,10087,6222,626,1240
-,7004,7335,11587,10087,6222,626,1240
+,11521,9769,9109,9762,4205,8586,311
-,11521,9769,9109,9762,4205,8586,311
+,6801,9090,9352,4476,5868,210,8121
-,6801,9090,9352,4476,5868,210,8121
+,3538,8464,232,3814,4535,6937,8013
-,3538,8464,232,3814,4535,6937,8013
+,9974,7705,5479,596,2106,5512,7353
-,9974,7705,5479,596,2106,5512,7353
+,4601,11547,5580,698,8121,8189,11167
-,4601,11547,5580,698,8121,8189,11167
+,3959,12516,4114,10790,12936,7717,4869
-,3959,12516,4114,10790,12936,7717,4869
+,562,7344,10204,6011,7548,677,11736
-,562,7344,10204,6011,7548,677,11736
+,3095,12987,9019,4543,8231,2007,10183
-,3095,12987,9019,4543,8231,2007,10183
+,2479,1520,947,1212,2980,5797,9462
-,2479,1520,947,1212,2980,5797,9462
+,2628,27,9705,3266,8233,10261,11736
-,2628,27,9705,3266,8233,10261,11736
