OP,A1,A2,A3,A4,A5,A6,A7
+,6829,9693,8848,8495,12640,1951,3594
+,9018,11392,10958,8322,3542,7054,442
+,1131,909,8574,11591,441,12163,11101
+,12701,546,6186,6975,10316,12666,508
-,9018,11392,10958,8322,3542,7054,442
+,1263,10078,3930,2620,11216,10602,3557
+,1539,5915,5793,8391,2010,708,195
+,9619,5611,790,5533,12464,8253,1719
+,7446,10494,5469,8408,8638,3621,4492
-,1263,10078,3930,2620,11216,10602,3557
+,10482,4285,4822,128,2483,9565,239
+,7921,1509,11068,3969,7614,4799,10499
+,9692,10334,11102,6026,10600,975,5655
+,11955,4689,7391,8088,8117,10324,11358
-,6829,9693,8848,8495,12640,1951,3594
+,9979,12262,3693,6126,5832,1328,3563
+,11967,5864,2411,4574,9242,4309,11386
+,12543,2102,128,11736,5010,2928,4711
+,12119,4789,10001,12525,9874,12087,12178
-,12543,2102,128,11736,5010,2928,4711
+,4564,1749,1794,6481,8907,10100,4481
+,9877,3995,9696,806,7728,5146,6219
+,8824,5374,9447,1020,4284,9025,6175
+,2518,1966,6912,8970,2830,2098,9771
-,9877,3995,9696,806,7728,5146,6219
+,488,7588,11021,4876,8054,8635,1830
+,11085,7041,12562,11622,10157,2246,9625
+,9973,1841,10833,12151,7005,8771,9533
+,3613,4579,12404,5127,10639,4596,3413
-,9979,12262,3693,6126,5832,1328,3563
+,6403,12803,816,6985,8914,7680,7586
+,2143,12059,5556,4046,7899,962,2809
+,8832,11470,11209,204,5758,7443,10853
+,9312,12582,5521,3922,1550,3393,4795
-,11955,4689,7391,8088,8117,10324,11358
+,891,6364,12330,6327,10432,10849,7852
+,12014,5214,3922,11948,9162,3629,12459
+,24,9463,3428,10341,7050,7857,4537
+,3065,11680,7871,8606,12767,9618,1413
-,9973,1841,10833,12151,7005,8771,9533
+,9583,7109,6410,4919,4609,10898,2772
+,2703,7969,10297,10107,2442,4270,9533
+,1373,5185,10886,8815,10481,12178,6966
+,2214,11948,5758,8059,10166,477,8953
-,9583,7109,6410,4919,4609,10898,2772
+,12312,2510,10120,5052,6916,12042,2402
+,738,4131,7729,2165,6455,9223,10751
+,5456,11607,1228,11309,11296,9755,6021
+,4789,3171,2964,10636,9896,3192,3923
-,7446,10494,5469,8408,8638,3621,4492
+,276,1850,6883,2951,3236,8141,11378
+,5534,2478,7336,6169,11537,1219,8129
+,1371,2880,8521,8313,2228,12975,11114
+,8755,4545,8623,3648,751,12429,9453
-,2214,11948,5758,8059,10166,477,8953
+,4556,8595,11718,12454,4657,4666,9914
+,5334,6215,4655,9723,11300,4113,7556
+,3201,10067,8798,9186,11425,5097,6656
+,5989,11112,3890,685,6098,7669,1892
-,12014,5214,3922,11948,9162,3629,12459
+,12256,9365,7093,12606,12321,1810,10010
+,5545,11071,12030,1350,7213,9674,6962
+,11589,10488,12299,11370,3320,574,6630
+,6504,628,12947,8898,11609,11155,491
-,3065,11680,7871,8606,12767,9618,1413
+,11361,3721,4125,6845,7006,2941,8974
+,1106,12117,3788,7738,2795,4111,5806
+,6493,9121,2064,11974,3287,12503,496
+,1356,12863,3508,1370,9872,6627,9931
-,1371,2880,8521,8313,2228,12975,11114
+,2466,192,2751,3807,2918,3309,7613
+,11225,5265,4372,4374,5731,11549,6499
+,290,4814,4077,5609,7171,10050,2658
+,2930,4605,2711,4292,2594,9194,8569
-,9312,12582,5521,3922,1550,3393,4795
+,577,159,12245,1229,4168,5946,9976
+,8964,12886,4391,3749,12048,8346,9503
+,11113,5873,6050,4567,11697,9973,3805
+,8734,10648,7750,2542,10003,6400,11629
-,12256,9365,7093,12606,12321,1810,10010
+,5040,9115,10279,664,633,7244,6808
+,7951,1436,3990,7048,9809,7472,2998
+,8420,7119,8553,10596,12665,9124,9708
+,12388,4267,12989,9196,11316,11648,7754
-,8734,10648,7750,2542,10003,6400,11629
+,8025,5547,3540,5054,6746,6834,8586
+,3037,9273,717,11016,8039,2721,1763
